skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,167,Concept,OeAI,116,italisch,,,samnitisch,,,Samnite,,,,,,https://chronontology.dainst.org/period/0Yevp82GLwdT,skos:exactMatch,,
kulturepoche,168,Concept,OeAI,116,italisch,,,umbrisch,,,Umbrian,,,,,,https://chronontology.dainst.org/period/34aNFX1SMAZ6,skos:exactMatch,,
kulturepoche,169,Concept,OeAI,117,Kirbet Kerak,,,Karazkultur,,,Kura–Araxes,Kur–Araz,,,https://www.wikidata.org/wiki/Q169349,skos:exactMatch,,,,
kulturepoche,170,Concept,OeAI,118,kykladisch,,,frühkykladisch,,,Early Cycladic,,,,,,https://chronontology.dainst.org/period/9eJnzwj23JAu,skos:exactMatch,,
kulturepoche,171,Concept,OeAI,118,kykladisch,,,mittelkykladisch,,,Middle Cycladic,,,,,,https://chronontology.dainst.org/period/73BHzmkXjTDx,skos:exactMatch,,
kulturepoche,172,Concept,OeAI,118,kykladisch,,,spätkykladisch,,,Late Cycladic,,,,,,https://chronontology.dainst.org/period/un3ffUxH9BBz,skos:exactMatch,,
kulturepoche,173,Concept,OeAI,120,minoisch,,,frühminoisch,,,Early Minoan,,,,,,https://chronontology.dainst.org/period/3LyVa2wb88y0,skos:exactMatch,,
kulturepoche,174,Concept,OeAI,120,minoisch,,,mittelminoisch,,,Middle Minoan,,,,,,https://chronontology.dainst.org/period/SuuD817asCH2,skos:exactMatch,,
kulturepoche,175,Concept,OeAI,120,minoisch,,,spätminoisch,,,Late Minoan,,,,,,https://chronontology.dainst.org/period/6e2ZbRiMULdQ,skos:exactMatch,,
kulturepoche,176,Concept,OeAI,120,minoisch,,,subminoisch,,,Sub Minoan,Sub-Minoan,,,,,https://chronontology.dainst.org/period/b40GOqHyfQlv,skos:exactMatch,,
kulturepoche,177,Concept,OeAI,121,Mittelalter,,,Frühmittelalter,,,Early Middle Ages,Early Medieval,,,https://www.wikidata.org/wiki/Q202763,skos:exactMatch,,,,
kulturepoche,178,Concept,OeAI,121,Mittelalter,,,Gotik,,,Gothic,,,,https://www.wikidata.org/wiki/Q46825,skos:exactMatch,,,,
kulturepoche,179,Concept,OeAI,121,Mittelalter,,,Romanik,,,Romanesque,,,,https://www.wikidata.org/wiki/Q46805,skos:exactMatch,,,,
